Date,Day,Despacito
1/13/17,1,275178
1/14/17,2,1144886
1/15/17,3,1288198
1/16/17,4,1827581
1/17/17,5,2177449
1/18/17,6,2528408
1/19/17,7,2893300
1/20/17,8,3260014
1/21/17,9,3853781
1/22/17,10,3590914
1/23/17,11,4217226
1/24/17,12,4690718
1/25/17,13,4975605
1/26/17,14,5284138
1/27/17,15,5787911
1/28/17,16,6111181
1/29/17,17,5292500
1/30/17,18,5865825
1/31/17,19,6415754
2/1/17,20,6909578
2/2/17,21,7154707
2/3/17,22,7783608
2/4/17,23,7960983
2/5/17,24,6954006
2/6/17,25,7117879
2/7/17,26,7524853
2/8/17,27,7654919
2/9/17,28,7696998
2/10/17,29,8041356
2/11/17,30,8251406
2/12/17,31,7104062
2/13/17,32,7166431
2/14/17,33,7352353
2/15/17,34,7318174
2/16/17,35,7436876
2/17/17,36,7842114
2/18/17,37,7958583
2/19/17,38,6856240
2/20/17,39,6882922
2/21/17,40,7019868
2/22/17,41,7069521
2/23/17,42,3598449
2/24/17,43,7718492
2/25/17,44,7799662
2/26/17,45,6542601
2/27/17,46,6680914
2/28/17,47,6894342
3/1/17,48,6993754
3/2/17,49,7124737
3/3/17,50,7477002
3/4/17,51,7578035
3/5/17,52,6528616
3/6/17,53,3209439
3/7/17,54,6489893
3/8/17,55,6481038
3/9/17,56,6668838
3/10/17,57,7151375
3/11/17,58,7559157
3/12/17,59,6483880
3/13/17,60,6367631
3/14/17,61,6530486
3/15/17,62,6581381
3/16/17,63,6744179
3/17/17,64,7266069
3/18/17,65,7537204
3/19/17,66,6415819
3/20/17,67,6261434
3/21/17,68,6210215
3/22/17,69,6274645
3/23/17,70,6331494
3/24/17,71,6914549
3/25/17,72,7317552
3/26/17,73,6167099
3/27/17,74,6131439
3/28/17,75,6292943
3/29/17,76,6391751
3/30/17,77,6487490
3/31/17,78,6807668
4/1/17,79,6889959
4/2/17,80,5827083
4/3/17,81,5679885
4/4/17,82,5859633
4/5/17,83,5865613
4/6/17,84,5948378
4/7/17,85,6533680
4/8/17,86,6660608
4/9/17,87,5683746
4/10/17,88,5762588
4/11/17,89,5877897
4/12/17,90,6041766
4/13/17,91,6327822
4/14/17,92,5846681
4/15/17,93,5617332
4/16/17,94,5108739
4/17/17,95,10236693
4/18/17,96,13837155
4/19/17,97,14530591
4/20/17,98,15603034
4/21/17,99,18076042
4/22/17,100,17750769
4/23/17,101,15592441
4/24/17,102,17174198
4/25/17,103,17794232
4/26/17,104,18053510
4/27/17,105,18150660
